symbol,entry_time,exit_time,side,R,reason
BTCUSD,2025-08-20 17:00:00+00:00,2025-08-20 17:00:00+00:00,short,-1.2579288128509045,stop
BTCUSD,2025-09-23 16:00:00+00:00,2025-09-23 20:00:00+00:00,short,1.8662673771423028,tp
BTCUSD,2025-11-17 16:00:00+00:00,2025-11-17 17:00:00+00:00,short,2.026391596720421,tp
BTCUSD,2025-12-16 15:00:00+00:00,2025-12-16 15:00:00+00:00,short,-1.1911433154730184,stop
BTCUSD,2025-12-17 17:00:00+00:00,2025-12-18 14:00:00+00:00,short,-1.1351443953096259,stop
BTCUSD,2025-12-28 00:00:00+00:00,2025-12-28 00:00:00+00:00,short,-1.7000000000000384,stop
BTCUSD,2026-01-15 17:00:00+00:00,2026-01-15 19:00:00+00:00,long,-1.22464522264451,stop
BTCUSD,2026-01-26 17:00:00+00:00,2026-01-26 19:00:00+00:00,short,-1.2247057999706827,stop
BTCUSD,2026-02-09 01:00:00+00:00,2026-02-09 04:00:00+00:00,short,-1.130465904157189,stop
BTCUSD,2026-02-16 15:00:00+00:00,2026-02-17 00:00:00+00:00,short,-1.1701340409297025,stop
