symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-03-04 11:00:00+00:00,2024-03-04 15:00:00+00:00,short,squeeze,-1.12928938110012,stop
BTCUSD,2024-03-04 18:00:00+00:00,2024-03-04 18:00:00+00:00,short,squeeze,-1.1253768985910564,stop
BTCUSD,2024-03-05 17:00:00+00:00,2024-03-05 18:00:00+00:00,short,squeeze,2.1224758849961067,tp
BTCUSD,2024-03-08 17:00:00+00:00,2024-03-08 17:00:00+00:00,short,squeeze,2.0496414135966643,tp
BTCUSD,2024-03-10 12:00:00+00:00,2024-03-10 15:00:00+00:00,short,squeeze,1.9447943107726378,tp
BTCUSD,2024-03-11 10:00:00+00:00,2024-03-11 12:00:00+00:00,short,squeeze,-1.138629623375433,stop
BTCUSD,2024-03-11 15:00:00+00:00,2024-03-11 15:00:00+00:00,short,squeeze,-1.1222409510919806,stop
BTCUSD,2024-03-11 17:00:00+00:00,2024-03-11 20:00:00+00:00,short,squeeze,-1.1358712854757893,stop
BTCUSD,2024-03-12 16:00:00+00:00,2024-03-12 17:00:00+00:00,short,squeeze,2.04477235507407,tp
BTCUSD,2024-03-12 19:00:00+00:00,2024-03-13 08:00:00+00:00,long,squeeze,2.0912460155329233,tp
BTCUSD,2024-03-13 16:00:00+00:00,2024-03-14 05:00:00+00:00,long,trend,2.0257793574581164,tp
BTCUSD,2024-03-14 16:00:00+00:00,2024-03-14 16:00:00+00:00,long,squeeze,-1.1561056859844603,stop
BTCUSD,2024-03-14 18:00:00+00:00,2024-03-14 19:00:00+00:00,long,squeeze,-1.1239628811096014,stop
BTCUSD,2024-03-15 05:00:00+00:00,2024-03-15 10:00:00+00:00,long,squeeze,-1.0637452678987045,stop
BTCUSD,2024-03-15 20:00:00+00:00,2024-03-15 20:00:00+00:00,long,trend,-1.0834431477234259,stop
BTCUSD,2024-03-17 00:00:00+00:00,2024-03-17 00:00:00+00:00,long,squeeze,-1.1257666619259523,stop
BTCUSD,2024-03-17 09:00:00+00:00,2024-03-17 16:00:00+00:00,long,squeeze,2.0991366468801957,tp
BTCUSD,2024-03-18 00:00:00+00:00,2024-03-18 06:00:00+00:00,short,squeeze,-1.1370998988612169,stop
BTCUSD,2024-03-18 11:00:00+00:00,2024-03-18 13:00:00+00:00,short,trend,-1.1416495357383452,stop
BTCUSD,2024-03-18 15:00:00+00:00,2024-03-19 02:00:00+00:00,short,trend,2.0699597944782093,tp
BTCUSD,2024-03-19 04:00:00+00:00,2024-03-19 04:00:00+00:00,long,squeeze,-1.1061912146649817,stop
BTCUSD,2024-03-19 09:00:00+00:00,2024-03-19 09:00:00+00:00,long,squeeze,-1.1062452429878742,stop
BTCUSD,2024-03-19 11:00:00+00:00,2024-03-19 11:00:00+00:00,long,squeeze,-1.0923482178759156,stop
BTCUSD,2024-03-19 13:00:00+00:00,2024-03-19 18:00:00+00:00,long,squeeze,2.1171984762134506,tp
BTCUSD,2024-03-20 06:00:00+00:00,2024-03-20 13:00:00+00:00,long,squeeze,2.1276923514677413,tp
BTCUSD,2024-03-20 18:00:00+00:00,2024-03-20 18:00:00+00:00,short,trend,-1.0839912181482028,stop
BTCUSD,2024-03-21 17:00:00+00:00,2024-03-21 19:00:00+00:00,short,trend,2.067497081476878,tp
BTCUSD,2024-03-21 22:00:00+00:00,2024-03-22 11:00:00+00:00,long,squeeze,-1.1153067667118932,stop
BTCUSD,2024-03-22 14:00:00+00:00,2024-03-22 14:00:00+00:00,long,squeeze,-1.1440472291162909,stop
