symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-07-09 16:00:00+00:00,2024-07-09 17:00:00+00:00,short,confluence,-1.1466451299288705,stop
BTCUSD,2024-09-06 15:00:00+00:00,2024-09-06 15:00:00+00:00,short,confluence,2.2520349343420674,tp
BTCUSD,2024-09-23 00:00:00+00:00,2024-09-23 00:00:00+00:00,long,confluence,-1.2209169038988854,stop
BTCUSD,2024-10-15 17:00:00+00:00,2024-10-16 10:00:00+00:00,long,confluence,1.8581376124010696,timeout
BTCUSD,2025-01-16 17:00:00+00:00,2025-01-17 02:00:00+00:00,long,confluence,2.2204382895665855,tp
BTCUSD,2025-02-18 16:00:00+00:00,2025-02-18 18:00:00+00:00,short,confluence,2.1363035509952786,tp
BTCUSD,2025-04-09 16:00:00+00:00,2025-04-09 17:00:00+00:00,short,confluence,-1.0984957771622206,stop
BTCUSD,2025-06-05 15:00:00+00:00,2025-06-05 17:00:00+00:00,short,confluence,2.100922181975274,tp
BTCUSD,2025-07-22 03:00:00+00:00,2025-07-22 04:00:00+00:00,long,confluence,-1.1895741822665913,stop
BTCUSD,2025-09-23 16:00:00+00:00,2025-09-23 20:00:00+00:00,short,confluence,2.066267377142289,tp
BTCUSD,2025-12-16 15:00:00+00:00,2025-12-16 15:00:00+00:00,short,confluence,-1.1911433154730184,stop
BTCUSD,2025-12-17 17:00:00+00:00,2025-12-18 10:00:00+00:00,short,confluence,-0.18611596776080488,timeout
BTCUSD,2026-01-15 17:00:00+00:00,2026-01-15 19:00:00+00:00,long,confluence,-1.22464522264451,stop
BTCUSD,2026-01-26 17:00:00+00:00,2026-01-26 19:00:00+00:00,short,confluence,-1.2247057999706827,stop
BTCUSD,2026-02-09 01:00:00+00:00,2026-02-09 04:00:00+00:00,short,confluence,-1.130465904157189,stop
BTCUSD,2026-02-16 15:00:00+00:00,2026-02-17 00:00:00+00:00,short,confluence,-1.1701340409297025,stop
