symbol,entry_time,exit_time,side,source,R,reason
SOLUSD,2024-03-04 10:00:00+00:00,2024-03-04 14:00:00+00:00,long,trend,-1.1138075637642975,stop
SOLUSD,2024-03-04 16:00:00+00:00,2024-03-04 17:00:00+00:00,long,trend,-1.085412013201322,stop
SOLUSD,2024-03-05 07:00:00+00:00,2024-03-05 08:00:00+00:00,long,trend,-1.0697297587131358,stop
SOLUSD,2024-03-07 05:00:00+00:00,2024-03-07 09:00:00+00:00,short,squeeze,-1.066289041095895,stop
SOLUSD,2024-03-07 13:00:00+00:00,2024-03-07 14:00:00+00:00,short,squeeze,-1.0574734071443463,stop
SOLUSD,2024-03-08 15:00:00+00:00,2024-03-08 15:00:00+00:00,short,squeeze,-1.0996489100817497,stop
SOLUSD,2024-03-08 18:00:00+00:00,2024-03-08 22:00:00+00:00,long,confluence,-1.0681232927970106,stop
SOLUSD,2024-03-10 03:00:00+00:00,2024-03-10 12:00:00+00:00,long,trend,-1.138269602680706,stop
SOLUSD,2024-03-10 16:00:00+00:00,2024-03-10 16:00:00+00:00,long,squeeze,-1.1260074832962097,stop
SOLUSD,2024-03-12 05:00:00+00:00,2024-03-12 05:00:00+00:00,short,squeeze,-1.0983583776595698,stop
SOLUSD,2024-03-12 17:00:00+00:00,2024-03-12 17:00:00+00:00,long,trend,-1.0627559249786829,stop
SOLUSD,2024-03-12 19:00:00+00:00,2024-03-13 15:00:00+00:00,long,squeeze,2.1416313345447193,tp
SOLUSD,2024-03-13 21:00:00+00:00,2024-03-13 22:00:00+00:00,short,squeeze,-1.0804600152322954,stop
SOLUSD,2024-03-14 16:00:00+00:00,2024-03-14 16:00:00+00:00,long,trend,-1.0675542927228157,stop
SOLUSD,2024-03-14 21:00:00+00:00,2024-03-14 23:00:00+00:00,long,squeeze,2.1508378537188833,tp
SOLUSD,2024-03-15 11:00:00+00:00,2024-03-16 04:00:00+00:00,long,trend,2.1668074422248322,tp
SOLUSD,2024-03-16 22:00:00+00:00,2024-03-17 00:00:00+00:00,long,squeeze,-1.0447371100573988,stop
SOLUSD,2024-03-17 18:00:00+00:00,2024-03-17 19:00:00+00:00,short,squeeze,-1.0563551117734729,stop
SOLUSD,2024-03-17 23:00:00+00:00,2024-03-17 23:00:00+00:00,short,squeeze,-1.0694928378134603,stop
SOLUSD,2024-03-18 05:00:00+00:00,2024-03-18 11:00:00+00:00,short,squeeze,-1.070345252774352,stop
SOLUSD,2024-03-18 17:00:00+00:00,2024-03-18 17:00:00+00:00,long,trend,-1.0637539837138765,stop
SOLUSD,2024-03-19 05:00:00+00:00,2024-03-19 09:00:00+00:00,long,squeeze,-1.0466094475993806,stop
SOLUSD,2024-03-19 11:00:00+00:00,2024-03-19 11:00:00+00:00,long,squeeze,-1.0402221408966148,stop
SOLUSD,2024-03-19 13:00:00+00:00,2024-03-19 23:00:00+00:00,long,squeeze,-1.03726137724551,stop
SOLUSD,2024-03-20 20:00:00+00:00,2024-03-21 19:00:00+00:00,long,trend,-1.0472578919769262,stop
SOLUSD,2024-03-22 14:00:00+00:00,2024-03-22 14:00:00+00:00,long,squeeze,-1.0804037001897566,stop
SOLUSD,2024-03-22 16:00:00+00:00,2024-03-23 02:00:00+00:00,long,squeeze,2.1262045556051796,tp
SOLUSD,2024-03-23 17:00:00+00:00,2024-03-23 19:00:00+00:00,short,trend,-1.092267526881715,stop
SOLUSD,2024-03-24 18:00:00+00:00,2024-03-24 19:00:00+00:00,short,trend,-1.1245050328227508,stop
SOLUSD,2024-03-25 01:00:00+00:00,2024-03-25 06:00:00+00:00,short,squeeze,-1.1058399999999966,stop
SOLUSD,2024-03-26 02:00:00+00:00,2024-03-26 06:00:00+00:00,long,trend,2.1128853044909484,tp
SOLUSD,2024-03-26 23:00:00+00:00,2024-03-27 08:00:00+00:00,long,trend,-1.0983290661070326,stop
SOLUSD,2024-03-27 11:00:00+00:00,2024-03-27 15:00:00+00:00,long,squeeze,-1.1024675660483465,stop
SOLUSD,2024-03-27 18:00:00+00:00,2024-03-28 17:00:00+00:00,long,squeeze,0.7325396961063569,timeout
SOLUSD,2024-03-29 01:00:00+00:00,2024-03-29 08:00:00+00:00,short,squeeze,2.0914963222416825,tp
SOLUSD,2024-03-30 01:00:00+00:00,2024-03-30 01:00:00+00:00,short,squeeze,-1.1145708548828746,stop
SOLUSD,2024-03-31 18:00:00+00:00,2024-03-31 20:00:00+00:00,long,trend,2.0133627546071704,tp
SOLUSD,2024-04-02 07:00:00+00:00,2024-04-02 09:00:00+00:00,long,squeeze,-1.0816924813727717,stop
SOLUSD,2024-04-02 13:00:00+00:00,2024-04-02 14:00:00+00:00,long,squeeze,-1.0766026944806577,stop
SOLUSD,2024-04-03 20:00:00+00:00,2024-04-04 05:00:00+00:00,short,trend,2.1060308483290453,tp
SOLUSD,2024-04-04 20:00:00+00:00,2024-04-04 21:00:00+00:00,short,confluence,2.0778117883456124,tp
SOLUSD,2024-04-05 11:00:00+00:00,2024-04-05 13:00:00+00:00,long,squeeze,-1.0679655810213098,stop
SOLUSD,2024-04-07 04:00:00+00:00,2024-04-08 01:00:00+00:00,short,squeeze,2.063147973755314,tp
SOLUSD,2024-04-08 05:00:00+00:00,2024-04-08 08:00:00+00:00,long,squeeze,2.077936016949152,tp
SOLUSD,2024-04-08 11:00:00+00:00,2024-04-09 04:00:00+00:00,short,squeeze,2.0807177644710597,tp
SOLUSD,2024-04-09 06:00:00+00:00,2024-04-09 07:00:00+00:00,long,squeeze,-1.1562023318385697,stop
SOLUSD,2024-04-09 17:00:00+00:00,2024-04-09 18:00:00+00:00,long,squeeze,2.0873881412391686,tp
SOLUSD,2024-04-10 20:00:00+00:00,2024-04-10 21:00:00+00:00,short,trend,-1.0800364956437603,stop
SOLUSD,2024-04-11 20:00:00+00:00,2024-04-12 13:00:00+00:00,short,squeeze,2.0906276236044667,tp
