symbol,entry_time,exit_time,side,R,reason
BTCUSD,2025-08-20 17:00:00+00:00,2025-08-20 17:00:00+00:00,short,-1.2579288128509045,stop
BTCUSD,2025-09-23 16:00:00+00:00,2025-09-23 20:00:00+00:00,short,1.8662673771423028,tp
BTCUSD,2025-11-17 16:00:00+00:00,2025-11-17 17:00:00+00:00,short,2.026391596720421,tp
BTCUSD,2025-12-16 15:00:00+00:00,2025-12-16 15:00:00+00:00,short,-1.1911433154730184,stop
BTCUSD,2025-12-17 17:00:00+00:00,2025-12-18 14:00:00+00:00,short,-1.1351443953096259,stop
BTCUSD,2025-12-28 00:00:00+00:00,2025-12-28 00:00:00+00:00,short,-1.7000000000000384,stop
BTCUSD,2026-01-15 17:00:00+00:00,2026-01-15 19:00:00+00:00,long,-1.22464522264451,stop
BTCUSD,2026-01-26 17:00:00+00:00,2026-01-26 19:00:00+00:00,short,-1.2247057999706827,stop
BTCUSD,2026-02-09 01:00:00+00:00,2026-02-09 04:00:00+00:00,short,-1.130465904157189,stop
BTCUSD,2026-02-16 15:00:00+00:00,2026-02-17 00:00:00+00:00,short,-1.1701340409297025,stop
SOLUSD,2025-10-03 16:00:00+00:00,2025-10-03 17:00:00+00:00,long,1.8588910112359551,tp
SOLUSD,2025-11-17 16:00:00+00:00,2025-11-17 17:00:00+00:00,short,1.892587397260272,tp
SOLUSD,2025-12-11 00:00:00+00:00,2025-12-11 01:00:00+00:00,long,-1.09102361673414,stop
SOLUSD,2025-12-15 16:00:00+00:00,2025-12-15 16:00:00+00:00,short,1.8704354609929048,tp
SOLUSD,2025-12-16 15:00:00+00:00,2025-12-16 15:00:00+00:00,short,-1.1126755555555568,stop
SOLUSD,2025-12-17 17:00:00+00:00,2025-12-17 18:00:00+00:00,short,1.905692214204331,tp
SOLUSD,2026-01-09 17:00:00+00:00,2026-01-09 19:00:00+00:00,long,-1.1152559796437693,stop
SOLUSD,2026-02-09 01:00:00+00:00,2026-02-09 09:00:00+00:00,short,1.9117187564766855,tp
