lookback,tp_mult,max_hold,vol_mult,wf_windows,avg_trades_per_window,avg_pf,avg_exp,avg_dd,stability_ratio,score
16,2.2,18,0.9,8,39.375,1.032373976867547,0.009033745845985215,-7.583134382404312,0.375,0.5690397143738558
20,2.2,18,0.9,8,39.0,1.0221909084430367,0.0013296267485184213,-7.856886285622753,0.375,0.5456230381798358
24,2.2,18,0.9,8,39.0,1.0221909084430367,0.0013296267485184213,-7.856886285622753,0.375,0.5456230381798358
16,2.2,24,0.9,8,38.75,1.0126850589406093,-0.003737796840340493,-7.629560562737939,0.25,0.5423753862775214
16,2.0,18,0.9,8,39.5,0.9828879309130742,-0.02164880089972277,-7.963849145337414,0.25,0.5294357247401549
20,2.2,24,0.9,8,38.5,0.9969477039191239,-0.01571811160739079,-7.9436729271584605,0.25,0.5159717005778555
24,2.2,24,0.9,8,38.5,0.9969477039191239,-0.01571811160739079,-7.9436729271584605,0.25,0.5159717005778555
16,2.0,24,0.9,8,39.125,0.9670366520423241,-0.033513253862997784,-7.972852848837433,0.25,0.5098011606718792
20,2.0,18,0.9,8,39.125,0.9738287577992786,-0.028773035412728264,-8.312381366217267,0.25,0.5043555236007538
24,2.0,18,0.9,8,39.125,0.9738287577992786,-0.028773035412728264,-8.312381366217267,0.25,0.5043555236007538
16,2.2,18,1.0,8,35.25,1.0495160863790796,0.011438435862860138,-7.2722456186064,0.375,0.4982710673046681
20,2.2,18,1.0,8,35.0,1.0503944402084193,0.009799118210333007,-7.413214527697308,0.375,0.48740268237941387
24,2.2,18,1.0,8,35.0,1.0503944402084193,0.009799118210333007,-7.413214527697308,0.375,0.48740268237941387
20,2.0,24,0.9,8,38.875,0.9529103559070985,-0.044682531840750384,-8.311965213257952,0.25,0.483458511761511
24,2.0,24,0.9,8,38.875,0.9529103559070985,-0.044682531840750384,-8.311965213257952,0.25,0.483458511761511
16,1.8,18,0.9,8,39.625,0.9249927091939003,-0.06090975780347295,-8.458956344055643,0.25,0.47782155187485775
16,2.2,24,1.0,8,34.75,1.0238244568541168,-0.003837997244302324,-7.5011227898249455,0.375,0.46612831906094937
20,1.8,18,0.9,8,39.25,0.9171261822867547,-0.06714347631643725,-8.479987235090306,0.25,0.4634569066308536
24,1.8,18,0.9,8,39.25,0.9171261822867547,-0.06714347631643725,-8.479987235090306,0.25,0.4634569066308536
16,2.0,18,1.0,8,35.375,0.9951897898148176,-0.022045640627674643,-7.5445543677827445,0.375,0.459117728338843
16,1.8,24,0.9,8,39.375,0.9099865793435119,-0.07330405792404984,-8.525772725930029,0.25,0.4584227602980493
20,2.2,24,1.0,8,34.625,1.0164168032372025,-0.010284064016561664,-7.642091698915856,0.375,0.45295318501596266
24,2.2,24,1.0,8,34.625,1.0164168032372025,-0.010284064016561664,-7.642091698915856,0.375,0.45295318501596266
20,2.0,18,1.0,8,35.125,0.9961187140054404,-0.023515994353167497,-7.753949897480325,0.375,0.44636550872242275
24,2.0,18,1.0,8,35.125,0.9961187140054404,-0.023515994353167497,-7.753949897480325,0.375,0.44636550872242275
20,1.8,24,0.9,8,39.125,0.8972049590237119,-0.08333763091073067,-8.543257552756561,0.25,0.4428646425065725
24,1.8,24,0.9,8,39.125,0.8972049590237119,-0.08333763091073067,-8.543257552756561,0.25,0.4428646425065725
16,1.8,18,1.0,8,35.5,0.9536762204598359,-0.04740317175636373,-7.4461776769269745,0.25,0.43921149793582703
16,2.0,24,1.0,8,35.0,0.9765349539728175,-0.03516590659533134,-7.76035799826578,0.375,0.4320233534566953
20,1.8,18,1.0,8,35.25,0.9548807624241198,-0.048527565943713866,-7.6313954694480834,0.375,0.4275305699728436
24,1.8,18,1.0,8,35.25,0.9548807624241198,-0.048527565943713866,-7.6313954694480834,0.375,0.4275305699728436
16,1.8,24,1.0,8,35.25,0.9359068257824283,-0.060936633468194265,-7.483671622955425,0.25,0.4195532178431429
20,2.0,24,1.0,8,34.875,0.9699146189445098,-0.04116990019685893,-7.970575790786891,0.375,0.41721282607953436
24,2.0,24,1.0,8,34.875,0.9699146189445098,-0.04116990019685893,-7.970575790786891,0.375,0.41721282607953436
20,1.8,24,1.0,8,35.125,0.9300738093427271,-0.06641050030463837,-7.668889415476533,0.25,0.40602281723106565
24,1.8,24,1.0,8,35.125,0.9300738093427271,-0.06641050030463837,-7.668889415476533,0.25,0.40602281723106565
